agent_name,mls,property_type,neighborhood,city,url,timestamp,price,year,zipcode,bed,bath,agent_number,state,image_url,lot,address,zestimate,listing_type,zestimate_rent,desc
Walter Caswell,201637903,Single Family,Southeast Side ,Evansville,http://www.zillow.com/homedetails/3006-Sweetser-Ave-Evansville-IN-47714/77097871_zpid/,23 Dec 2016 15:36:09," $15,000 ",1945,47714,2,1,(812) 319-1243 ,Indiana,https://photos.zillowstatic.com/p_h/ISesqf80sguy0p1000000000.jpg,0.3 acres,3006 Sweetser Ave ,"$55,026",  For Sale ,$695/mo,Looking for a great investment? This home offers just that. You wont just get one property but could have the ability to split up this huge corner lot and build! Home is a 2 bed 1 bath with a garage.
Property Owner,,Single Family,,Evansville,http://www.zillow.com/homedetails/621-E-Iowa-St-Evansville-IN-47711/77071152_zpid/,23 Dec 2016 15:36:09," $20,000 ",1909,47711 ,3,2,(812) 226-0301 ,Indiana,https://photos.zillowstatic.com/p_h/IS13b1j72muck81000000000.jpg,"2,613 sqft",621 E Iowa St ,"$64,171",  For Sale by Owner ,$750/mo,"Great investment opportunity or perfect for a handy man that prefers to live in the home while remodeling this 2-story, 3-bedroom, 2-bath home with a partial basement.  New furnace in November 2016. Home has original wood work. Home being sold AS-IS.  Majority of the roof was replaced in 2013, fenced yard, one bathroom in working order.  4 bedroom potential with wall construction.  To inquire about the property send an email to eickhoffpropertiesllc@gmail.com or call (812) 431-8278."
Carson Lowry,201651242,Single Family,Glenwood ,Evansville,http://www.zillow.com/homedetails/713-E-Riverside-Dr-Evansville-IN-47713/77068256_zpid/,23 Dec 2016 15:36:09," $25,000 ",1926,47713,3,2,(812) 496-2937 ,Indiana,https://photos.zillowstatic.com/p_h/ISax75ajh5aeof0000000000.jpg,"6,534 sqft",713 E Riverside Dr ,"$39,795",  For Sale ,$600/mo,"Good starter home on a large lot, plenty of parking, garage.  Some hardwood floors, 3 bedroom 1 1/2 baths. Lots of square footage and value for the money."
The Scott Smith Team,21455078,Single Family,,Evansville,http://www.zillow.com/homedetails/809-N-4th-Ave-Evansville-IN-47710/77072405_zpid/,23 Dec 2016 15:36:09," $12,000 ",1899,47710 ,1,1,(317) 942-3032 ,Indiana,https://photos.zillowstatic.com/p_h/IS6qvzauv0gjjs1000000000.jpg,"3,406 sqft",809 N 4th Ave ,"$36,677",  For Sale ,$595/mo,"Offered as-is. This 1105 SQ FT 1 bedroom home features a large covered back patio. This property is eligible for 203k financing. Status ""IE"" insurability. Plumbing failed to hold pressure at time of initial inspection. Due to this failure, HUDs Field Service Manager will not permit the connection of water for the purpose of inspection. Only air test will be permitted on the plumbing. Please advise your potential lender to ensure they will permit an air test in lieu of the connection of water."
Lucas Neuffer,201651171,Single Family,Glenwood ,Evansville,http://www.zillow.com/homedetails/1736-S-Elliott-St-Evansville-IN-47713/77068153_zpid/,23 Dec 2016 15:36:09," $22,000 ",1934,47713,2,1,(812) 496-2937 ,Indiana,https://photos.zillowstatic.com/p_h/IS2nmn79cxdjoc0000000000.jpg,"6,098 sqft",1736 S Elliott St ,"$30,691",  For Sale ,$575/mo,"Great Investment opportunity. This home features 2 bedrooms and 1 bath with a sun porch. There is a nice size living room with fireplace. The eat in kitchen is fully applianced. Don't miss this chance to own this home. Sold ""as-is"""
,,Single Family,Old Erie ,Evansville,http://www.zillow.com/homedetails/1030-Cherry-St-Evansville-IN-47713/77073006_zpid/,23 Dec 2016 15:36:09," $19,900 ",1904,47713,4,2,,Indiana,https://photos.zillowstatic.com/p_h/ISyb3qqcmg4i0m0000000000.jpg,"5,662 sqft",1030 Cherry St ,"$69,858",  For Sale ,$695/mo,"This property is also available for Lease To Own; Pricing differs. Call for program details, pricing and down payment requirements. This property will be sold or leased in AS-IS condition."
The Scott Smith Team,21453583,Single Family,Tepe Park ,Evansville,http://www.zillow.com/homedetails/1501-S-Grand-Ave-Evansville-IN-47713/77069630_zpid/,23 Dec 2016 15:36:09," $25,000 ",1924,47713,3,2,(317) 942-3032 ,Indiana,https://photos.zillowstatic.com/p_h/ISuchy92omspjl1000000000.jpg,"8,001 sqft",1501 S Grand Ave ,"$72,782",  For Sale ,$750/mo,"Property is offered as-is. This 2225 SQ FT 3 bedroom home features a 1 car garage. Status ""UI"" insurability. Plumbing failed to hold pressure at timeof initial inspection. Due to this failure, HUDs Field Service Manager will not permit the connection of water for the purpose of inspection. Only air test will be permitted on the plumbing.Please advise your potential lender to ensure they will permit an air test in lieu of the connection of water."
Johnny West,201643122,Single Family,Helfrich ,Evansville,http://www.zillow.com/homedetails/2523-W-Illinois-St-Evansville-IN-47712/77068965_zpid/,23 Dec 2016 15:36:10," $15,000 ",1900,47712,1,1,(812) 726-7917 ,Indiana,https://photos.zillowstatic.com/p_h/ISircrwpq570ea0000000000.jpg,"3,136 sqft",2523 W Illinois St ,"$29,039",  For Sale ,$575/mo,Investment opportunity on the westside. This home has been in the same family for over 40 years. Many possibilities and opportunities.  Double lot is larger than most in the area.  Detached 1 car garage.
Kristie Kirsch,201653961,Single Family,,Evansville,http://www.zillow.com/homedetails/1914-N-3rd-Ave-Evansville-IN-47710/77072831_zpid/,23 Dec 2016 15:36:10," $20,900 ",1959,47710 ,1,1,(800) 221-6604 ,Indiana,https://photos.zillowstatic.com/p_h/ISugw4oef84g0s1000000000.jpg,435 sqft,1914 N 3rd Ave ,"$43,155",Foreclosure,$595/mo,1-2 bedroom home in north side location. Large living room opens to huge kitchen/dining area. 1 bedroom does not have closet. Newer windows. Front porch and covered patio area in rear. Garage used for storage area.  Needs TLC.
The Scott Smith Team,21440579,Single Family,,Evansville,http://www.zillow.com/homedetails/2121-Rheinhardt-Ave-Evansville-IN-47714/94610121_zpid/,23 Dec 2016 15:36:10," $25,000 ",1955,47714 ,3,1,(317) 942-3032 ,Indiana,https://photos.zillowstatic.com/p_h/IS6ydbau2hgseg1000000000.jpg,"7,701 sqft",2121 Rheinhardt Ave ,"$49,319",  For Sale ,$725/mo,"Property is offered as-is. This 1114 SQ FT 3 bedroom home features a 1 car garage. This property is eligible for 203k financing. Status ""IE"" insurability. Plumbing failed to hold pressure at time of initial inspection. Due to this failure, HUDs Field Service Manager will not permit the connection of water for the purpose of inspection. Only air test will be permitted on the plumbing. Please advise your potential lender to ensure they will permit an air test in lieu of the connection of water."
Ed Grammer,201642975,Single Family,Tepe Park ,Evansville,http://www.zillow.com/homedetails/616-Jefferson-Ave-Evansville-IN-47713/77069725_zpid/,23 Dec 2016 15:36:10," $15,900 ",1904,47713,3,2,(812) 483-1494 ,Indiana,https://photos.zillowstatic.com/p_h/ISekwaag7xilfp1000000000.jpg,"4,125 sqft",616 Jefferson Ave ,"$58,815",  For Sale ,$695/mo,"Large home with nice sized rooms. Entryway has nice staircase and sitting area.  Three bedrooms with one on the main floor.  There is also another room with an alcove that would be a great nursery, office or fourth bedroom with walk in closet. One bath on each floor. Renovations have been started."
Ed Grammer,201643811,Single Family,Glenwood ,Evansville,http://www.zillow.com/homedetails/1722-S-Bedford-Ave-Evansville-IN-47713/77068217_zpid/,23 Dec 2016 15:36:10," $21,900 ",1929,47713,2,1,(812) 483-1494 ,Indiana,https://photos.zillowstatic.com/p_h/ISukfaoi7e1y161000000000.jpg,"3,920 sqft",1722 S Bedford Ave ,"$17,931",  For Sale ,$550/mo,"Very nice 2 Bedroom, 1 Bath bungalow has an inviting covered front porch,  lots of updates, fresh paint, and move in ready.  This home features a Living Room and Dining Room with arched doorways, bright kitchen and dining area with lots of counter space, updated bath and so much more.  Priced right to make a great starter home. Room sized approximate and need to be verified by buyer."
Donovan Wilkins,201653735,Single Family,Presidents ,Evansville,http://www.zillow.com/homedetails/1307-Henning-Ave-Evansville-IN-47714/77097675_zpid/,23 Dec 2016 15:36:10," $16,000 ",1930,47714,1,1,(812) 430-4851 ,Indiana,https://photos.zillowstatic.com/p_h/IS6umbh9o920m21000000000.jpg,,1307 Henning Ave ,"$36,554",  For Sale ,$595/mo,"INVESTMENT HOME, This property is being sold AS-IS it has not been occupied for several  years."
Sam King,201644815,Single Family,,Evansville,http://www.zillow.com/homedetails/2068-Cass-Ave-Evansville-IN-47714/77104903_zpid/,23 Dec 2016 15:36:10," $24,900 ",1950,47714 ,2,1,(812) 966-4073 ,Indiana,https://photos.zillowstatic.com/p_h/ISu8y4rbrvn16u1000000000.jpg,0.25 acres,2068 Cass Ave ,"$47,368",  For Sale ,$595/mo,"Looking for an investment property or a place to fix up and live? Here it is! With some TLC this home can serve for both purposes. This home has a nice setting on its double lot! New roof 7-8 years ago, HVAC is 4 years old. The 2.5 car garage will give you plenty of storage and room to park the cars or toys."
Patsy Hill,201639542,Single Family,Tepe Park ,Evansville,http://www.zillow.com/homedetails/1217-S-Bedford-Ave-Evansville-IN-47713/77069674_zpid/,23 Dec 2016 15:36:10," $24,000 ",1917,47713,3,1,(270) 875-1442 ,Indiana,https://photos.zillowstatic.com/p_h/ISyvyzup4fhwor0000000000.jpg,"4,247 sqft",1217 S Bedford Ave ,"$25,392",  For Sale ,$575/mo,GREAT INVESTMENT PROPERTY
Chris Schafer,201546855,Single Family,Culver ,Evansville,http://www.zillow.com/homedetails/1316-S-Governor-St-Evansville-IN-47713/77067828_zpid/,23 Dec 2016 15:36:10," $24,900 ",1923,47713,2,1,(812) 496-2937 ,Indiana,https://photos.zillowstatic.com/p_h/ISla272pn7rnev0000000000.jpg,"3,484 sqft",1316 S Governor St ,"$25,372",  For Sale ,$550/mo,"Nice investment property ready for a new owner!  The home has been remodeled and well-kept.  In the kitchen you'll find a nice laminate countertops, chair rails and tasteful colors.  Beautifully painted wood frames and modern flooring makes this home an easy purchase decision.  Part of the roof has recently been replaced.  New drylock painted and pressure-washed basement makes for a great storage area. Ready for a new owner!"
Paula Haller,201625981,Single Family,,Evansville,http://www.zillow.com/homedetails/2100-N-5th-Ave-Evansville-IN-47710/77072891_zpid/,23 Dec 2016 15:36:10," $24,990 ",1923,47710 ,4,2,(812) 305-3646 ,Indiana,https://photos.zillowstatic.com/p_h/IS2n6jtipm9ia10000000000.jpg,,2100 N 5th Ave ,"$34,120",  For Sale ,$595/mo,"Great investment property directly behind Cedar Hall Elementary School.  Four bedrooms, 2 full baths.  Privacy fenced around back yard.  The home also offers a second floor deck in the backyard.  SOLD AS IS."
Jenna Hancock-Wargel,201638617,Single Family,Tepe Park ,Evansville,http://www.zillow.com/homedetails/831-Jackson-Ave-Evansville-IN-47713/77069587_zpid/,23 Dec 2016 15:36:10," $19,900 ",1926,47713,2,1,(812) 645-5594 ,Indiana,https://photos.zillowstatic.com/p_h/IS2zrfi8lo0yl00000000000.jpg,"4,791 sqft",831 Jackson Ave ,"$15,117",  For Sale ,$550/mo,"Currently rented for $400 a month.  Tenant pays all utilities.Sold ""As Is""   Seller prefers to sell in package deal with all properties.  1027 Adams Evansville, 47714/Rented for $425, 435 S Denby Evansville, 47713/ Rented for $395, 800 Independence Evansville, 47713/ Rented for $525, 831 Jackson, Evansville, 47713/ Rented for $400, 1620 Grand Evansville, 47713/ Rented for $495, 22 W Louisiana, Evansville, 47713/ Rented for $450 , and 501 Madison Evansville, 47713/ Rented for $500, all for $118,300"
Jenna Hancock-Wargel,201638620,Single Family,Glenwood ,Evansville,http://www.zillow.com/homedetails/800-Independence-Ave-Evansville-IN-47713/94600607_zpid/,23 Dec 2016 15:36:10," $19,900 ",1929,47713,2,1,(812) 645-5594 ,Indiana,https://photos.zillowstatic.com/p_h/ISqxefg5wbnem00000000000.jpg,"4,791 sqft",800 Independence Ave ,"$18,366",  For Sale ,$575/mo,"Currently rented for $525 a month, tenant pays all utilities. Sold ""As Is""   Seller prefers to sell in package deal with all properties.  1027 Adams Evansville, 47714/Rented for $425, 435 S Denby Evansville, 47713/ Rented for $395, 800 Independence Evansville, 47713/ Rented for $525, 831 Jackson, Evansville, 47713/ Rented for $400, 1620 Grand Evansville, 47713/ Rented for $495, 22 W Louisiana, Evansville, 47713/ Rented for $450 , and 501 Madison Evansville, 47713/ Rented for $500, all for $118,300"
The Scott Smith Team,21444936,Single Family,Helfrich ,Evansville,http://www.zillow.com/homedetails/2529-W-Illinois-St-Evansville-IN-47712/94596864_zpid/,23 Dec 2016 15:36:10," $24,300 ",1861,47712,1,1,(317) 942-3032 ,Indiana,https://photos.zillowstatic.com/p_h/ISm2kn8gb1sw570000000000.jpg,"4,835 sqft",2529 W Illinois St ,"$31,780",  For Sale ,$575/mo,"This 993 SQ FT 1 bedroom Westside home features a 1 car detached garage. This property is eligible for 203k financing. Status ""IE"" insurability. ""Plumbing failed to hold pressure at time of initial inspection. Due to this failure, HUDs Field Service Manager will not permit the connection of water for the purpose of inspection. Only air test will be permitted on the plumbing. Please advise your potential lender to ensure they will permit an air test in lieu of the connection of water.ability."
Sherri Schlitt,201633286,Single Family,Tepe Park ,Evansville,http://www.zillow.com/homedetails/1211-S-Grand-Ave-Evansville-IN-47713/77069165_zpid/,23 Dec 2016 15:36:10," $22,000 ",1904,47713,2,1,(812) 496-2937 ,Indiana,https://photos.zillowstatic.com/p_h/IS2v0wh0kpc0ts0000000000.jpg,,1211 S Grand Ave ,"$11,824",  For Sale ,$550/mo,"Large house in process of some repairs being done.  Big closets.  Detached garage and covered area, fenced yard.  Upstairs has much potential for usable sq. ft."
Jenna Hancock-Wargel,201624868,Single Family,Jacobsville ,Evansville,http://www.zillow.com/homedetails/1207-1209-Mary-St-Evansville-IN-47710/2098392304_zpid/,23 Dec 2016 15:36:10," $24,500 ",1904,47710,3,2,(812) 645-5594 ,Indiana,https://photos.zillowstatic.com/p_h/ISxrvul7hr8lwv1000000000.jpg,,1207 1209 Mary St ,"$40,295",  For Sale ,Unavailable,"This 1257 square foot single family home has 3 bedrooms and 2.0 bathrooms. It is located at 1207 1209 Mary St Evansville, Indiana."
Jenna Hancock-Wargel,201624876,Single Family,,Evansville,http://www.zillow.com/homedetails/724-E-Florida-St-Evansville-IN-47711/77070979_zpid/,23 Dec 2016 15:36:11," $19,000 ",1914,47711 ,2,1,(812) 645-5594 ,Indiana,https://photos.zillowstatic.com/p_h/ISd0dukvzldwhd0000000000.jpg,"3,175 sqft",724 E Florida St ,"$27,830",  For Sale ,$550/mo,"This 883 square foot single family home has 2 bedrooms and 1.0 bathrooms. It is located at 724 E Florida St Evansville, Indiana."
Brian Garrett,201627262,Single Family,Jacobsville ,Evansville,http://www.zillow.com/homedetails/23-W-Oregon-St-Evansville-IN-47710/97346267_zpid/,23 Dec 2016 15:36:11," $21,900 ",1889,47710,3,1,(812) 319-4327 ,Indiana,https://photos.zillowstatic.com/p_h/ISmedeae0epe930000000000.jpg,,23 W Oregon St ,"$18,996",  For Sale ,$575/mo,"Nice 3 bedroom, 1 bath home that features new paint and new furnace.  Nice home for a rental, first-time home, or downsizing.  This home also features the vacant lots on either side of the home."
Jenna Hancock-Wargel,201638609,Single Family,Ballard ,Evansville,http://www.zillow.com/homedetails/435-S-Denby-Ave-Evansville-IN-47713/94597538_zpid/,23 Dec 2016 15:36:11," $19,900 ",1941,47713,2,1,(812) 645-5594 ,Indiana,https://photos.zillowstatic.com/p_h/ISqxm13otfspjg1000000000.jpg,"2,613 sqft",435 S Denby Ave ,"$26,349",  For Sale ,$550/mo,"Newer Roof. Rents for $395 a month, tenant pays all utilities.Sold ""As Is""   Seller prefers to sell in package deal with all properties.  1027 Adams Evansville, 47714/Rented for $425, 435 S Denby Evansville, 47713/ Rented for $395, 800 Independence Evansville, 47713/ Rented for $525, 831 Jackson, Evansville, 47713/ Rented for $400, 1620 Grand Evansville, 47713/ Rented for $495, 22 W Louisiana, Evansville, 47713/ Rented for $450 , and 501 Madison Evansville, 47713/ Rented for $500, all for $118,300"
Jenna Hancock-Wargel,201638619,Single Family,,Evansville,http://www.zillow.com/homedetails/1620-S-Grand-Ave-Evansville-IN-47713/94597378_zpid/,23 Dec 2016 15:36:11," $15,900 ",1924,47713 ,2,1,(812) 645-5594 ,Indiana,https://photos.zillowstatic.com/p_h/ISy3hryb0kvbm00000000000.jpg,"4,791 sqft",1620 S Grand Ave ,"$15,472",  For Sale ,$550/mo,"Currently rented for $495 a month, tenant pays all utilities. Sold ""As Is""   Seller prefers to sell in package deal with all properties.  1027 Adams Evansville, 47714/Rented for $425, 435 S Denby Evansville, 47713/ Rented for $395, 800 Independence Evansville, 47713/ Rented for $525, 831 Jackson, Evansville, 47713/ Rented for $400, 1620 Grand Evansville, 47713/ Rented for $495, 22 W Louisiana, Evansville, 47713/ Rented for $450 , and 501 Madison Evansville, 47713/ Rented for $500, all for $118,300"
Jenna Hancock-Wargel,201638616,Single Family,Jacobsville ,Evansville,http://www.zillow.com/homedetails/22-W-Louisiana-St-Evansville-IN-47710/77071684_zpid/,23 Dec 2016 15:36:11," $15,900 ",1909,47710,2,1,(812) 645-5594 ,Indiana,https://photos.zillowstatic.com/p_h/ISusp302hgs0m00000000000.jpg,"4,356 sqft",22 W Louisiana St ,"$14,900",  For Sale ,$550/mo,"Rented for $450 a month.  Tenant pays all utilities. Sold ""As Is""   Seller prefers to sell in package deal with all properties.  1027 Adams Evansville, 47714/Rented for $425, 435 S Denby Evansville, 47713/ Rented for $395, 800 Independence Evansville, 47713/ Rented for $525, 831 Jackson, Evansville, 47713/ Rented for $400, 1620 Grand Evansville, 47713/ Rented for $495, 22 W Louisiana, Evansville, 47713/ Rented for $450 , and 501 Madison Evansville, 47713/ Rented for $500, all for $118,300"
Jenna Hancock-Wargel,201624872,Single Family,Jacobsville ,Evansville,http://www.zillow.com/homedetails/1208-Oakley-St-Evansville-IN-47710/94599177_zpid/,23 Dec 2016 15:36:11," $19,500 ",1909,47710,2,1,(812) 645-5594 ,Indiana,https://photos.zillowstatic.com/p_h/IS9t8vna64m4wv1000000000.jpg,"3,225 sqft",1208 Oakley St ,"$27,813",  For Sale ,$560/mo,"This 828 square foot single family home has 2 bedrooms and 1.0 bathrooms. It is located at 1208 Oakley St Evansville, Indiana."
Jenna Hancock-Wargel,201624356,Multi Family,Jacobsville ,Evansville,http://www.zillow.com/homedetails/1001-Edgar-St-Evansville-IN-47710/94599138_zpid/,23 Dec 2016 15:36:11," $19,900 ",1899,47710,3,2,(812) 645-5594 ,Indiana,https://photos.zillowstatic.com/p_h/ISd0l42u8jjac61000000000.jpg,"4,104 sqft",1001 Edgar St ,"$46,421",  For Sale ,$595/mo,"This 2220 square foot multi family home has 3 bedrooms and 2.0 bathrooms. It is located at 1001 Edgar St Evansville, Indiana."
Jenna Hancock-Wargel,201638610,Single Family,Culver ,Evansville,http://www.zillow.com/homedetails/501-Madison-Ave-Evansville-IN-47713/94596284_zpid/,23 Dec 2016 15:36:11," $19,900 ",1934,47713,2,1,(812) 645-5594 ,Indiana,https://photos.zillowstatic.com/p_h/IS6aj3hi4s39m00000000000.jpg,"2,613 sqft",501 Madison Ave ,"$17,606",  For Sale ,$550/mo,"Corner Lot! Currently rented for $500 a month, tenant pays all utilities.Sold ""As Is""   Seller prefers to sell in package deal with all properties.  1027 Adams Evansville, 47714/Rented for $425, 435 S Denby Evansville, 47713/ Rented for $395, 800 Independence Evansville, 47713/ Rented for $525, 831 Jackson, Evansville, 47713/ Rented for $400, 1620 Grand Evansville, 47713/ Rented for $495, 22 W Louisiana, Evansville, 47713/ Rented for $450 , and 501 Madison Evansville, 47713/ Rented for $500, all for $118,300"
Jenna Hancock-Wargel,201624866,Single Family,Diamond-Stringtown ,Evansville,http://www.zillow.com/homedetails/2628-N-Heidelbach-Ave-Evansville-IN-47711/94600032_zpid/,23 Dec 2016 15:36:11," $19,500 ",1929,47711,2,1,(812) 645-5594 ,Indiana,https://photos.zillowstatic.com/p_h/IS1n6j542wd7wv1000000000.jpg,"5,633 sqft",2628 N Heidelbach Ave ,"$35,694",  For Sale ,$575/mo,"This 970 square foot single family home has 2 bedrooms and 1.0 bathrooms. It is located at 2628 N Heidelbach Ave Evansville, Indiana."
Jeremy Kempf,201643628,Single Family,,Evansville,http://www.zillow.com/homedetails/352-S-Werner-Ave-Evansville-IN-47712/77072191_zpid/,23 Dec 2016 15:36:11," $16,900 ",1933,47712 ,1,1,(812) 598-0546 ,Indiana,https://photos.zillowstatic.com/p_h/IS66gyngg964ee1000000000.jpg,"4,356 sqft",352 S Werner Ave ,"$22,272",  For Sale ,$575/mo,This is a cute yellow ranch home sits in a quiet neighborhood with a large backyard that is fenced in and has a large block storage shed. It is conveniently located near many Westside shopping areas and would be a good investment opportunity. Seller has replace the kitchen floor decking. Will install vinyl or give allowance toward floor covering.
Jenna Hancock-Wargel,201638608,Single Family,Akin Park ,Evansville,http://www.zillow.com/homedetails/1027-Adams-Ave-Evansville-IN-47714/97347961_zpid/,23 Dec 2016 15:36:11," $19,900 ",1925,47714,2,1,(812) 645-5594 ,Indiana,https://photos.zillowstatic.com/p_h/ISirc3yyr3fhm00000000000.jpg,"3,920 sqft",1027 Adams Ave ,"$38,306",  For Sale ,$595/mo,"Newer roof, siding, gutters and windows. Currently rented for $425 a month, tenant pays all utilities.  Sold ""As Is""   Seller prefers to sell in package deal with all properties.  1027 Adams Evansville, 47714/Rented for $425, 435 S Denby Evansville, 47713/ Rented for $395, 800 Independence Evansville, 47713/ Rented for $525, 831 Jackson, Evansville, 47713/ Rented for $400, 1620 Grand Evansville, 47713/ Rented for $495, 22 W Louisiana, Evansville, 47713/ Rented for $450 , and 501 Madison Evansville, 47713/ Rented for $500, all for $118,300"
Johnny West,201651202,Single Family,Tepe Park ,Evansville,http://www.zillow.com/homedetails/1416-S-Grand-Ave-Evansville-IN-47713/77069212_zpid/,23 Dec 2016 15:36:11," $25,000 ",1915,47713,2,1,(812) 726-7917 ,Indiana,https://photos.zillowstatic.com/p_h/ISalyh4oxxif290000000000.jpg,"3,998 sqft",1416 S Grand Ave ,"$38,174",  For Sale ,$575/mo,"Winter Project ! This two bedroom home is in need of some TLC. The owner has made some repairs. Per the owner the roof is approximately 5 yrs old and the windows have been replaced, some of the doors have also been replaced. This home is waiting for you to finish and move in."
